分类: 📺央视频道, 名称: CCTV-1, 有效: 32, IPv4: 211, IPv6: 0, 最小延迟: 56 ms, 最高速率: 82.63 M/s, 平均速率: 19.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 27, IPv4: 180, IPv6: 0, 最小延迟: 61 ms, 最高速率: 74.30 M/s, 平均速率: 19.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 31, IPv4: 183, IPv6: 0, 最小延迟: 43 ms, 最高速率: 104.90 M/s, 平均速率: 23.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-4, 有效: 32, IPv4: 203, IPv6: 0, 最小延迟: 48 ms, 最高速率: 102.68 M/s, 平均速率: 22.81 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.50, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 有效: 38, IPv4: 223, IPv6: 0, 最小延迟: 45 ms, 最高速率: 113.86 M/s, 平均速率: 24.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 93, IPv6: 0, 最小延迟: 536 ms, 最高速率: 4.67 M/s, 平均速率: 1.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-6, 有效: 29, IPv4: 192, IPv6: 0, 最小延迟: 48 ms, 最高速率: 109.65 M/s, 平均速率: 26.15 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 29, IPv4: 169, IPv6: 0, 最小延迟: 44 ms, 最高速率: 118.38 M/s, 平均速率: 26.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 28, IPv4: 185, IPv6: 0, 最小延迟: 44 ms, 最高速率: 120.36 M/s, 平均速率: 21.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 26.25, 视频编解码器: mpeg2video, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-9, 有效: 21, IPv4: 178, IPv6: 0, 最小延迟: 50 ms, 最高速率: 105.80 M/s, 平均速率: 34.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 28, IPv4: 185, IPv6: 0, 最小延迟: 49 ms, 最高速率: 108.42 M/s, 平均速率: 25.36 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 22, IPv4: 166, IPv6: 0, 最小延迟: 53 ms, 最高速率: 98.45 M/s, 平均速率: 24.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 30, IPv4: 186, IPv6: 0, 最小延迟: 55 ms, 最高速率: 101.57 M/s, 平均速率: 21.45 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 29, IPv4: 180, IPv6: 0, 最小延迟: 53 ms, 最高速率: 97.56 M/s, 平均速率: 21.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.75, 视频编解码器: h264, 音频编解码器: aac
