央视卫视,#genre#
CCTV-1,http://156.238.248.80:8880/play/1.254875.m3u8
CCTV-1,http://156.238.248.80:8880/play/2.877664.m3u8
CCTV-2,http://156.238.248.80:8880/play/3.563667.m3u8
CCTV-2,http://156.238.248.80:8880/play/4.611695.m3u8
CCTV-3,http://156.238.248.80:8880/play/5.320622.m3u8
CCTV-3,http://156.238.248.80:8880/play/6.287212.m3u8
CCTV-4,http://156.238.248.80:8880/play/7.206211.m3u8
CCTV-4,http://156.238.248.80:8880/play/8.625632.m3u8
CCTV-5,http://156.238.248.80:8880/play/9.671337.m3u8
CCTV-5+,http://156.238.248.80:8880/play/10.136377.m3u8
CCTV-6,http://156.238.248.80:8880/play/11.228264.m3u8
CCTV-6,http://156.238.248.80:8880/play/12.863853.m3u8
CCTV-7,http://156.238.248.80:8880/play/13.628701.m3u8
CCTV-7,http://156.238.248.80:8880/play/14.134480.m3u8
CCTV-8,http://156.238.248.80:8880/play/15.497947.m3u8
CCTV-8,http://156.238.248.80:8880/play/16.712719.m3u8
CCTV-9,http://156.238.248.80:8880/play/17.259732.m3u8
CCTV-9,http://156.238.248.80:8880/play/18.821926.m3u8
CCTV-10,http://156.238.248.80:8880/play/19.239314.m3u8
CCTV-10,http://156.238.248.80:8880/play/20.384136.m3u8
CCTV-11,http://156.238.248.80:8880/play/21.960520.m3u8
CCTV-12,http://156.238.248.80:8880/play/22.638241.m3u8
CCTV-13,http://156.238.248.80:8880/play/23.463194.m3u8
CCTV-14,http://156.238.248.80:8880/play/24.449878.m3u8
CCTV-14,http://156.238.248.80:8880/play/25.934323.m3u8
CCTV-15,http://156.238.248.80:8880/play/26.715563.m3u8
CCTV-15,http://156.238.248.80:8880/play/27.433534.m3u8
CCTV-16,http://156.238.248.80:8880/play/28.625369.m3u8
CCTV-16,http://156.238.248.80:8880/play/29.260067.m3u8
CCTV-17,http://156.238.248.80:8880/play/30.173708.m3u8
CCTV-17,http://156.238.248.80:8880/play/31.733627.m3u8
CGTN英语,http://156.238.248.80:8880/play/32.316726.m3u8
CGTN记录,http://156.238.248.80:8880/play/33.156002.m3u8
CGTN俄语,http://156.238.248.80:8880/play/34.701583.m3u8
CGTN法语,http://156.238.248.80:8880/play/35.923534.m3u8
三沙卫视,http://156.238.248.80:8880/play/36.429094.m3u8
东南卫视,http://156.238.248.80:8880/play/37.248182.m3u8
东南卫视,http://156.238.248.80:8880/play/38.556011.m3u8
东方卫视,http://156.238.248.80:8880/play/39.480173.m3u8
东方卫视,http://156.238.248.80:8880/play/40.659229.m3u8
云南卫视,http://156.238.248.80:8880/play/41.165920.m3u8
北京卫视,http://156.238.248.80:8880/play/42.545692.m3u8
吉林卫视,http://156.238.248.80:8880/play/43.106517.m3u8
四川卫视,http://156.238.248.80:8880/play/44.504780.m3u8
天津卫视,http://156.238.248.80:8880/play/45.183590.m3u8
天津卫视,http://156.238.248.80:8880/play/46.289632.m3u8
安徽卫视,http://156.238.248.80:8880/play/47.711154.m3u8
山东卫视,http://156.238.248.80:8880/play/48.739713.m3u8
山东卫视,http://156.238.248.80:8880/play/49.995151.m3u8
广西卫视,http://156.238.248.80:8880/play/50.210455.m3u8
江苏卫视,http://156.238.248.80:8880/play/51.912663.m3u8
江苏卫视,http://156.238.248.80:8880/play/52.246009.m3u8
江西卫视,http://156.238.248.80:8880/play/53.298812.m3u8
河北卫视,http://156.238.248.80:8880/play/54.606840.m3u8
河南卫视,http://156.238.248.80:8880/play/55.965287.m3u8
浙江卫视,http://156.238.248.80:8880/play/56.634539.m3u8
海南卫视,http://156.238.248.80:8880/play/57.497586.m3u8
深圳卫视,http://156.238.248.80:8880/play/58.368584.m3u8
深圳卫视,http://156.238.248.80:8880/play/59.507150.m3u8
湖北卫视,http://156.238.248.80:8880/play/60.565247.m3u8
湖北卫视,http://156.238.248.80:8880/play/61.597284.m3u8
湖南卫视,http://156.238.248.80:8880/play/62.365109.m3u8
湖南卫视,http://156.238.248.80:8880/play/63.180807.m3u8
甘肃卫视,http://156.238.248.80:8880/play/64.718235.m3u8
西藏卫视,http://156.238.248.80:8880/play/65.139357.m3u8
辽宁卫视,http://156.238.248.80:8880/play/66.871313.m3u8
辽宁卫视,http://156.238.248.80:8880/play/67.493255.m3u8
重庆卫视,http://156.238.248.80:8880/play/68.923219.m3u8
重庆卫视,http://156.238.248.80:8880/play/69.293939.m3u8
陕西卫视,http://156.238.248.80:8880/play/70.768272.m3u8
陕西卫视,http://156.238.248.80:8880/play/71.803996.m3u8
青海卫视,http://156.238.248.80:8880/play/72.880540.m3u8
浙江卫视4K,http://156.238.248.80:8880/play/73.694939.m3u8
湖南卫视4K,http://156.238.248.80:8880/play/74.130723.m3u8
CHC动作电影,http://156.238.248.80:8880/play/75.520308.m3u8
CHC家庭影院,http://156.238.248.80:8880/play/76.546265.m3u8
CCTV-1,http://156.238.248.80:8880/play/77.816773.m3u8
CCTV-2,http://156.238.248.80:8880/play/78.746783.m3u8
CCTV-3,http://156.238.248.80:8880/play/79.393443.m3u8
CCTV-4,http://156.238.248.80:8880/play/80.607723.m3u8
CCTV-5,http://156.238.248.80:8880/play/81.207768.m3u8
CCTV-5+,http://156.238.248.80:8880/play/82.379751.m3u8
CCTV-6,http://156.238.248.80:8880/play/83.579119.m3u8
CCTV-7,http://156.238.248.80:8880/play/84.833326.m3u8
CCTV-8,http://156.238.248.80:8880/play/85.693628.m3u8
CCTV-9,http://156.238.248.80:8880/play/86.213591.m3u8
CCTV-10,http://156.238.248.80:8880/play/87.859140.m3u8
CCTV-11,http://156.238.248.80:8880/play/88.340949.m3u8
CCTV-12,http://156.238.248.80:8880/play/89.660376.m3u8
