央视卫视,#genre#
CCTV1,http://156.238.248.80:8880/play/1.815866.m3u8
CCTV1,http://156.238.248.80:8880/play/2.696469.m3u8
CCTV2,http://156.238.248.80:8880/play/3.971014.m3u8
CCTV2,http://156.238.248.80:8880/play/4.183647.m3u8
CCTV3,http://156.238.248.80:8880/play/5.785323.m3u8
CCTV3,http://156.238.248.80:8880/play/6.748089.m3u8
CCTV4,http://156.238.248.80:8880/play/7.918569.m3u8
CCTV4,http://156.238.248.80:8880/play/8.749242.m3u8
CCTV5,http://156.238.248.80:8880/play/9.444908.m3u8
CCTV5+,http://156.238.248.80:8880/play/10.976463.m3u8
CCTV6,http://156.238.248.80:8880/play/11.476490.m3u8
CCTV6,http://156.238.248.80:8880/play/12.586184.m3u8
CCTV7,http://156.238.248.80:8880/play/13.336378.m3u8
CCTV7,http://156.238.248.80:8880/play/14.779375.m3u8
CCTV8,http://156.238.248.80:8880/play/15.707203.m3u8
CCTV8,http://156.238.248.80:8880/play/16.471360.m3u8
CCTV9,http://156.238.248.80:8880/play/17.338537.m3u8
CCTV9,http://156.238.248.80:8880/play/18.165827.m3u8
CCTV10,http://156.238.248.80:8880/play/19.835090.m3u8
CCTV10,http://156.238.248.80:8880/play/20.471371.m3u8
CCTV11,http://156.238.248.80:8880/play/21.955344.m3u8
CCTV12,http://156.238.248.80:8880/play/22.966342.m3u8
CCTV13,http://156.238.248.80:8880/play/23.505625.m3u8
CCTV14,http://156.238.248.80:8880/play/24.626992.m3u8
CCTV14,http://156.238.248.80:8880/play/25.711094.m3u8
CCTV15,http://156.238.248.80:8880/play/26.494190.m3u8
CCTV15,http://156.238.248.80:8880/play/27.914962.m3u8
CCTV16,http://156.238.248.80:8880/play/28.139122.m3u8
CCTV16,http://156.238.248.80:8880/play/29.566564.m3u8
CCTV17,http://156.238.248.80:8880/play/30.796394.m3u8
CCTV17,http://156.238.248.80:8880/play/31.931173.m3u8
CGTN英语,http://156.238.248.80:8880/play/32.879808.m3u8
CGTN记录,http://156.238.248.80:8880/play/33.554779.m3u8
CGTN俄语,http://156.238.248.80:8880/play/34.604259.m3u8
CGTN法语,http://156.238.248.80:8880/play/35.939914.m3u8
三沙卫视,http://156.238.248.80:8880/play/36.998453.m3u8
东南卫视,http://156.238.248.80:8880/play/37.774525.m3u8
东南卫视,http://156.238.248.80:8880/play/38.549675.m3u8
东方卫视,http://156.238.248.80:8880/play/39.714021.m3u8
东方卫视,http://156.238.248.80:8880/play/40.223949.m3u8
云南卫视,http://156.238.248.80:8880/play/41.593565.m3u8
北京卫视,http://156.238.248.80:8880/play/42.334498.m3u8
吉林卫视,http://156.238.248.80:8880/play/43.714212.m3u8
四川卫视,http://156.238.248.80:8880/play/44.923438.m3u8
天津卫视,http://156.238.248.80:8880/play/45.188571.m3u8
天津卫视,http://156.238.248.80:8880/play/46.141123.m3u8
安徽卫视,http://156.238.248.80:8880/play/47.692045.m3u8
山东卫视,http://156.238.248.80:8880/play/48.480111.m3u8
